productName,description,imageLink,price,rating,merchantName
[DUAL] iPhone 64GB 128GB 256GB 12 / Mini Black Blue Green Red 13 White,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/6/5e8e2fc7-2f1b-4085-aaad-5a29ba9a78f2.jpg?ect=4g,Rp14.285.000,5.0,Big Berry Cellular
[RESMI] iphone 13 128GB 256GB 512GB New Garansi 1 Tahun,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/29/2bdc6719-362f-4d7c-8e2d-3e785fad53e3.jpg?ect=4g,Rp15.699.000,5.0,GOfone
Samsung Galaxy A32 8/128 RAM 8GB ROM 128GB GARANSI RESMI,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/6/4c9ceaba-8860-4e59-89b5-d4909cfa86a7.jpg?ect=4g,Rp3.614.000,4.8,MnM Phone
"""Apple iPhone X 64GB/256GB Original-Hitam,Putih""",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/23/25f74a83-1c6d-4b16-85d7-8dd0a1120218.jpg?ect=4g,Rp4.499.000,5.0,hp360
"""SAMSUNG GALAXY A12 4/128 GB, SAMSUNG GALAXY A12 6/128 GB GARANSI RESMI""",Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Samsung Katalog: Infinix Note 4,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/11/0f132c62-cfd0-4677-9b24-462c52a0e33c.jpg?ect=4g,Rp2.285.000,4.9,STR-STORE
Samsung Galaxy A72 8/128 RAM 8GB ROM 128GB GARANSI RESMI SEIN,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: SAMSUNG,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/19/c94fba3b-1405-4e2a-83fb-cafa57199279.jpg?ect=4g,Rp5.749.000,5.0,PREMIUM OFFICIAL STORE
Samsung Galaxy A52 8/128 - RAM 8GB / ROM 128GB - Garansi Resmi,Kondisi: Baru Berat: 600 Gram Kategori: Android OS Etalase: A32A52A72 Katalog: Samsung Galaxy A52,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/3/0ef61696-35e3-4c7e-90ef-079956406af5.jpg?ect=4g,Rp5.099.000,5.0,H2 Cellular
Infinix Hot 10s 4/64 RAM 4GB ROM 64GB GARANSI RESMI,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: INFINIX,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/19/0968d3f0-d9f9-4f0a-a162-bde458b8bca0.jpg?ect=4g,Rp1.685.000,5.0,Shadow Gold
Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Samsung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/8/514435d7-9944-498c-b6fb-a9a06eca2dc4.jpg?ect=4g,Rp2.453.000,4.9,Oceanic Official Store
Strawberry ST22 | Handphone Candybar HP Murah Kamera Bluetooth 16GB,Kondisi: Baru Berat: 200 Gram Kategori: Android OS Etalase: Semua Etalase,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp125.000,4.7,Strawberry Official
Vivo Y20S 8/128 GB Garansi Resmi Vivo Indonesia,Kondisi: Baru Berat: 400 Gram Kategori: Android OS Etalase: VIVO Katalog: vivo Y20s,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp2.649.000,4.9,duniagadgetku
